"domain","X_worker_id","results"
"http://uk.soccerway.com",40640600,"no_profit"
"http://uk.soccerway.com",42472271,"no"
"http://uk.soccerway.com",42471936,"cultural"
"http://uk.soccerway.com",34391904,"no"
"http://viaf.org",39920459,"cultural"
"http://viaf.org",38425753,"cultural"
"http://viaf.org",37869484,"cultural"
"http://viaf.org",40245758,"ne"
"http://viaf.org",35377304,"cultural"
"http://viaf.org",42372714,"ne"
"http://vimeo.com",40640602,"no_profit"
"http://vimeo.com",40640600,"no_profit"
"http://vimeo.com",42471936,"no"
"http://vimeo.com",42472203,"no"
"http://vimeo.com",35077385,"no_profit"
"http://vimeo.com",32717039,"no_profit"
"http://vk.com",35644614,"no"
"http://vk.com",32717039,"nw"
"http://vk.com",38164483,"nw"
